Species,Country.of.Origin,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,altitude_mean_meters
Arabica,Ethiopia,Caturra,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,90.58,0.12,0,0.0,Green,0,2075.0
Arabica,Ethiopia,Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,89.92,0.12,0,0.0,Green,1,2075.0
Arabica,Guatemala,Bourbon,Washed / Wet,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,9.25,89.75,0.11,0,0.0,Green,0,1700.0
Arabica,Ethiopia,Caturra,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,89.0,0.11,0,0.0,Green,2,2000.0
Arabica,Ethiopia,Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,88.83,0.12,0,0.0,Green,2,2075.0
Arabica,Ethiopia,Caturra,Washed / Wet,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,88.67,0.03,0,0.0,Green,0,1635.0
Arabica,Ethiopia,Caturra,Washed / Wet,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,88.42,0.03,0,0.0,Green,0,1635.0
Arabica,Ethiopia,Other,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,88.25,0.1,0,0.0,Green,4,1822.5
Arabica,Ethiopia,Caturra,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,88.08,0.1,0,0.0,Green,1,1905.0
Arabica,United States,Other,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,8.5,87.92,0.11,0,0.0,Green,0,1872.0
Arabica,United States,Other,Washed / Wet,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,8.33,87.92,0.11,0,0.0,Green,0,1943.0
Arabica,United States (Hawaii),Caturra,Washed / Wet,8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,8.58,87.92,0.11,0,0.0,Green,2,609.6
Arabica,Ethiopia,Caturra,Washed / Wet,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,8.5,87.83,0.05,0,0.0,Green,2,1635.0
